algoritmo,seed,iteration,valid,hfAvanzadaValue,hfBasicaValue,peticionesAsignadas,peticionesTotales,camionesUsados,camionesTotales,totalKm,kmMedioCamion,beneficioDelDia,beneficio,coste,calidad,errorMessage
SIN_ASIGNACIONES,2134565223,6,true,-84108.0,-114180.0,0,119,0,10,0,0.0,0.0,114180.0,0.0,114180.0,
ALEATORIO_1PetXViaje,2134565223,6,true,-85956.0,-103712.0,50,119,10,10,5634,563.4,49200.0,114980.0,11268.0,103712.0,
ALEATORIO,2134565223,6,true,-93410.0,-103298.0,80,119,10,10,6266,626.6,78350.0,115830.0,12532.0,103298.0,
GREEDY_DISTANCIAS,2134565223,6,true,-92588.0,-103456.0,81,119,10,10,6112,611.2,79500.0,115680.0,12224.0,103456.0,
SIN_ASIGNACIONES,242526,7,true,-85660.0,-119200.0,0,124,0,10,0,0.0,0.0,119200.0,0.0,119200.0,
ALEATORIO_1PetXViaje,242526,7,true,-88348.0,-108892.0,49,124,10,10,5654,565.4,48000.0,120200.0,11308.0,108892.0,
ALEATORIO,242526,7,true,-93800.0,-107892.0,72,124,10,10,6294,629.4,70720.0,120480.0,12588.0,107892.0,
GREEDY_DISTANCIAS,242526,7,true,-93506.0,-108142.0,71,124,10,10,6224,622.4,69610.0,120590.0,12448.0,108142.0,
SIN_ASIGNACIONES,669610,8,true,-90748.0,-125240.0,0,131,0,10,0,0.0,0.0,125240.0,0.0,125240.0,
ALEATORIO_1PetXViaje,669610,8,true,-93690.0,-115370.0,48,131,10,10,5560,556.0,46750.0,126490.0,11120.0,115370.0,
ALEATORIO,669610,8,true,-101406.0,-114546.0,79,131,10,10,6212,621.2,77270.0,126970.0,12424.0,114546.0,
GREEDY_DISTANCIAS,669610,8,true,-102362.0,-115010.0,81,131,10,10,6090,609.0,79050.0,127190.0,12180.0,115010.0,
SIN_ASIGNACIONES,303132,9,true,-90308.0,-120740.0,0,126,0,10,0,0.0,0.0,120740.0,0.0,120740.0,
ALEATORIO_1PetXViaje,303132,9,true,-91622.0,-110810.0,46,126,10,10,5470,547.0,44990.0,121750.0,10940.0,110810.0,
ALEATORIO,303132,9,true,-98250.0,-109758.0,77,126,10,10,6296,629.6,75390.0,122350.0,12592.0,109758.0,
GREEDY_DISTANCIAS,303132,9,true,-97174.0,-110278.0,79,126,10,10,5946,594.6,77570.0,122170.0,11892.0,110278.0,
